prompt,summary_cs,abb_summary_cs,ex_summary_cs
"I want to read a book about computer science, information, and general works. Specifically, I am interested in learning more about the history of technology and its impact on society. Can you recommend a book that provides a comprehensive overview of these topics? I am eager to explore the intersection of computer science and the broader world we live in.",0.7273008738939607,0.7238998603066159,0.7254472716941744
I need a recommendation for a book about knowledge. I'm interested in expanding my understanding of various subjects and would like to read about different methods of acquiring and applying knowledge. Can you suggest a book that delves into this topic and inspires a thirst for learning?,0.7200976807742537,0.6948912514162945,0.7108891675368976
"I want to read a book about the fascinating world of books, from the art of writing to the history of libraries and other book-related topics. Can you recommend a book that explores these themes in an engaging and informative way?",0.7984909655181152,0.7962800580092677,0.7941665109370263
"I want to read a book about systems. Whether it's a technical guide on computer networks, a philosophical exploration of social systems, or a thrilling sci-fi story about complex systems in space, I'm open to all topics that delve into the intricacies and inner workings of systems. Can you recommend some titles?",0.661054869742546,0.6351757834348448,0.6564386345361468
"I'm looking for a book about data processing and computer science that delves into the core concepts and theories behind the field. Can you recommend any such books that provide a comprehensive understanding of algorithms, data structures, and computer programming languages used in data processing?",0.6782463959045225,0.7004606779044223,0.6731912561438574
"I need a recommendation for a book about computer programming, programs, and data. I'm looking for a comprehensive guide that covers the fundamentals of programming, as well as different types of programs and how they work with data. Can you suggest a book that would fit this description?",0.6644056782419376,0.6555622813752366,0.6837140328176505
"I want to read a book about special computer methods such as artificial intelligence (AI), multimedia, and virtual reality (VR). Could you recommend a book that explores these topics? Thank you.",0.5685352436149614,0.5669467095138409,0.5556623828915216
"I want to read a book about bibliography. Specifically, I'm looking for a comprehensive guide that will help me navigate the complexities of compiling and formatting references for academic research papers. Can you recommend any books that fit the bill?",0.5944300934137096,0.6210590034081188,0.5944300934137096
I'm looking for a book about bibliographies - possibly one that explores the art of creating bibliographies or offers an overview of the history of bibliographies. Could you recommend a title that fits this description?,0.6837489611863996,0.6737215368532152,0.7013664474559795
"I'm looking for a book about bibliographies of individuals. Specifically, I want a comprehensive resource that compiles the bibliographies of prominent figures across different fields and disciplines. Can you recommend any titles that fit this description? Thanks!",0.5773502691896257,0.5829752480681663,0.5728918992315464
I'm in search of a book about bibliographies of works from specific places. Do you have any recommendations? I'm interested in reading about the literary output from different regions and understanding how the social and cultural contexts of those places influenced the authors and their work.,0.7626096635663644,0.753970070100606,0.7633367654355621
I need a recommendation for a book about bibliographies of works on specific subjects. I'm looking to expand my research skills and gather more sources for my projects. Can you suggest a book that provides comprehensive and well-researched bibliographies on various topics?,0.6741607772803074,0.6567206798038656,0.650986776965388
"I recommend Cataloging and Classification: An Introduction by Lois Mai Chan and Athena Salaba. This book covers cataloging principles and how to arrange materials by author, date, and other categories. It also includes examples and case studies to help readers understand the concepts.",0.7609706744606267,0.7388505791113109,0.7468160448149386
